pc1,pc2,pc3,names,files,colors,position
-147.61620585385919,-71.90686008141502,3.3988219195812643,A549,A21,#44b7c2,A549_A21
-129.42230925091513,-56.65690712386771,-5.874105330338941,A549,A22,#44b7c2,A549_A22
-117.43502716717997,-19.859033344090005,-48.86996160397013,A549,A23,#44b7c2,A549_A23
-110.7841930353622,-12.867195760650793,-52.023085627628994,A549,A24,#44b7c2,A549_A24
-103.4920341790845,-15.428789451839668,-37.42534530096955,A549,B21,#44b7c2,A549_B21
-132.12444466601443,-42.238578698809555,-23.64725674991257,A549,B22,#44b7c2,A549_B22
-127.48379306302253,-24.209092995855436,-49.47891545371263,A549,B23,#44b7c2,A549_B23
-149.38477574335647,-73.43247614821878,3.629791512122098,A549,C11,#44b7c2,A549_C11
-128.61203445735063,-49.58955018878632,-12.251852287501938,A549,C12,#44b7c2,A549_C12
-137.61079623803977,-58.52840046194385,-4.405157933810462,A549,C13,#44b7c2,A549_C13
-147.0703329569921,-73.57199305483059,4.391583104382764,A549,C14,#44b7c2,A549_C14
-133.51367562319373,-53.08928896120769,4.721275512070498,A549,C15,#44b7c2,A549_C15
-143.23185963475586,-72.19072687158412,9.503005346956458,A549,C16,#44b7c2,A549_C16
-151.45256861277718,-74.82055064018842,3.8136350527126957,A549,C17,#44b7c2,A549_C17
-143.3671367924406,-65.68921476016894,2.6283302386796863,A549,C18,#44b7c2,A549_C18
-144.13402105708073,-69.08443346568941,2.593341759155711,A549,C19,#44b7c2,A549_C19
-142.8480217039696,-62.362938453961185,-6.6274419465135646,A549,C20,#44b7c2,A549_C20
-150.46814976964086,-74.2320645778276,2.1272984143218414,A549,C21,#44b7c2,A549_C21
-131.75257979777345,-59.934900023101186,-1.215798521564039,A549,C22,#44b7c2,A549_C22
-102.65131917285936,-10.731426359394014,-48.93292522445435,A549,C23,#44b7c2,A549_C23
254.8068366179459,-85.18244539930437,18.520513027482185,blank,G21,#264d8c,blank_G21
252.1292096981102,-79.69408851881484,13.647827040616546,blank,G22,#264d8c,blank_G22
251.25768098997463,-79.05304135228074,13.359771624254899,blank,G23,#264d8c,blank_G23
250.7186580766183,-77.85452871539437,11.816210240532929,blank,G24,#264d8c,blank_G24
249.78035654294746,-77.46075279797087,12.731174874114362,blank,H22,#264d8c,blank_H22
251.0175849502308,-79.37603608675332,14.173154117574924,blank,H23,#264d8c,blank_H23
253.51657890194872,-82.5650792564572,16.192636401789333,blank,H24,#264d8c,blank_H24
228.77519291676762,-46.4816271246857,-16.190921676014224,blank,I17,#264d8c,blank_I17
224.3008049108269,-38.94754856352778,-21.602112324326967,blank,I19,#264d8c,blank_I19
232.65175494102002,-50.45065282792744,-12.546124903178868,blank,I21,#264d8c,blank_I21
39.54864506748196,92.15791346875326,5.497986920171596,H460,D21,#a02c59,H460_D21
8.744998283613388,114.42528248276325,-12.86810745773183,H460,D22,#a02c59,H460_D22
-5.214560704415521,102.22701514737437,-43.52184386762989,H460,D23,#a02c59,H460_D23
56.57119367733427,98.65999531411163,-76.49135055572157,H460,D24,#a02c59,H460_D24
77.20378988977399,93.30507643852303,-82.29001368114427,H460,E2,#a02c59,H460_E2
77.95246998734311,93.45846563288853,-80.64152170859721,H460,E3,#a02c59,H460_E3
81.46157763981573,86.23708953900143,-90.05831732100496,H460,E4,#a02c59,H460_E4
-35.49412869525162,67.56543059384137,84.15069783987511,H460,F11,#a02c59,H460_F11
-10.881917529694793,65.67860683615861,102.24539778957305,H460,F12,#a02c59,H460_F12
-4.810013370509592,95.7212112908101,33.942610941834516,H460,F13,#a02c59,H460_F13
-26.071086116093305,69.59664990074766,94.21767151777074,H460,F14,#a02c59,H460_F14
3.982131768485842,76.40460272787627,79.83947552767553,H460,F15,#a02c59,H460_F15
-13.825175407660515,67.2479148383502,101.76822495673548,H460,F16,#a02c59,H460_F16
-50.02229051658186,63.86370665986542,60.8400268264115,H460,F17,#a02c59,H460_F17
-50.770600543993744,68.85285138254899,52.99873996711596,H460,F18,#a02c59,H460_F18
25.803609697484525,82.58625834009199,55.78657651043433,H460,F19,#a02c59,H460_F19
-48.30181309851656,84.55263405898182,39.3968982899672,H460,F20,#a02c59,H460_F20
20.342631111729734,99.64697314223433,-18.567001834734256,H460,F21,#a02c59,H460_F21
33.17896329500919,109.36072471780163,-51.93796137374935,H460,F23,#a02c59,H460_F23
46.102195793925794,105.94181955382386,-50.465554589701924,H460,F24,#a02c59,H460_F24
